| Team Name                      | School                                                |   # Solved |   Penalty |
| Yubo_Wang                      | Washington University in St. Louis                    |          3 |       465 |
| The Hashing Pumpkins           | McGill University                                     |          3 |       480 |
| Error 418                      | Ohio State University                                 |          3 |       486 |
| Team 3                         | New Jersey Institute of Technology                    |          3 |       532 |
| UTM-Team4                      | University of Tennessee at Martin                     |          3 |       533 |
| The Sloopy Slackers            | Ohio State University                                 |          3 |       547 |
| Baffled                        | College of William & Mary                             |          3 |       573 |
| Dragons 1                      | Drexel University                                     |          3 |       575 |
| UTM-Team1                      | University of Tennessee at Martin                     |          3 |       616 |
| Dragons 3                      | Drexel University                                     |          3 |       624 |
| UCSD Team 29                   | University of California, San Diego                   |          3 |       633 |
| RIT Team 1                     | Rochester Institute of Technology                     |          3 |       649 |
| NKU qualifying team #1         | Northern Kentucky University                          |          3 |       662 |
| Panthers                       | High Point University                                 |          3 |       673 |
| ISU-CY2                        | Iowa State University                                 |          3 |       674 |
| WhyNotTry                      | Western University                                    |          3 |       739 |
| Team 1 Name                    | La Salle University                                   |          3 |       769 |
| The Forgotten Semicolon        | Bemidji State University                              |          3 |      1034 |
| Recipe Writers                 | Rice University                                       |          3 |      1169 |
| team3                          | Indiana State University                              |          2 |        29 |
| Goob                           | Ohio State University                                 |          2 |        34 |
| Brianna Dunfield               | Mount Allison University                              |          2 |        35 |
| the noble attempt              | Simon Fraser University                               |          2 |        35 |
| UTM-Team2                      | University of Tennessee at Martin                     |          2 |        40 |
| mattn                          | University of Michigan                                |          2 |        42 |
| Mocs5                          | Florida Southern College                              |          2 |        50 |
| Pre-Schooler                   | Villanova University                                  |          2 |        51 |
| Aakanksha Khandwaha            | Mount Allison University                              |          2 |        55 |
| UBC MATH                       | University of British Columbia                        |          2 |        56 |
| UIUC 13                        | University of Illinois at Urbana–Champaign            |          2 |        57 |
| Mocs4                          | Florida Southern College                              |          2 |        61 |
| BoGlue                         | University of Michigan                                |          2 |        80 |
| RustyProgrammer                | Florida International University                      |          2 |        82 |
| Brenan Patrick                 | University of Louisville                              |          2 |        85 |
| CodeBusters                    | University of Lethbridge                              |          2 |        92 |
| Vulcan2                        | University of Hawaii at Hilo                          |          2 |       107 |
| Cashin                         | Emory University                                      |          2 |       114 |
| ADA U 2                        | ADA University                                        |          2 |       116 |
| CoC Crew                       | Concordia University, Nebraska                        |          2 |       120 |
| Houston 6                      | Ohio State University                                 |          2 |       120 |
| Debuggers                      | University of Manitoba                                |          2 |       133 |
| Daniela Alonso                 | Florida International University                      |          2 |       135 |
| gw                             | University of Maryland                                |          2 |       136 |
| Golden Rams 1                  | West Chester University                               |          2 |       139 |
| The Garbage Collectors         | Ohio State University                                 |          2 |       143 |
| IWantToPassTheTests            | Rice University                                       |          2 |       143 |
